⸮Time,Frequency,A0
208,198,530
209,198,515
210,198,499
211,198,503
212,198,519
213,198,529
214,198,515
215,198,498
216,198,502
217,198,518
218,198,529
219,198,514
220,198,498
221,198,501
222,198,517
223,198,528
224,198,514
225,198,498
226,198,500
227,198,516
228,198,528
229,198,514
230,198,498
231,198,500
232,198,516
233,198,528
234,198,514
235,198,498
236,198,498
237,198,515
238,198,528
239,198,514
240,198,498
241,198,498
242,198,514
243,198,527
244,198,514
245,198,498
246,198,497
247,198,514
248,198,527
249,198,515
250,198,498
251,198,496
252,198,513
253,198,527
254,198,514
255,198,498
256,198,496
257,198,513
258,198,527
259,198,515
260,198,499
261,198,496
262,198,511
263,198,526
264,198,515
265,198,499
266,198,495
267,198,511
268,198,526
269,198,515
270,198,499
271,198,495
272,198,511
273,198,526
274,198,515
275,198,499
276,198,494
277,198,510
278,198,525
279,198,515
280,198,500
281,198,494
282,198,510
283,198,526
284,198,516
285,198,500
286,198,494
287,198,509
288,198,525
289,198,516
290,198,500
291,198,493
292,198,509
293,198,525
294,198,517
295,198,500
296,198,493
297,198,508
298,198,524
299,198,517
300,197,497
301,197,487
302,197,473
303,197,461
304,197,476
305,197,493
306,197,494
307,197,479
308,197,465
309,197,480
310,197,496
311,197,499
312,197,484
313,197,469
314,197,482
315,197,499
316,197,503
317,197,488
318,197,472
319,197,484
320,197,500
321,197,506
322,197,491
323,197,476
324,197,486
325,197,502
326,197,509
327,197,494
328,197,479
329,197,487
330,197,503
331,197,512
332,197,497
333,197,482
334,197,488
335,197,504
336,197,514
337,197,499
338,197,484
339,197,488
340,197,504
341,197,516
342,197,502
343,197,486
344,197,488
345,197,505
346,197,517
347,197,504
348,197,488
349,197,489
350,197,505
351,197,519
352,197,506
353,197,490
354,197,489
355,197,505
356,197,520
357,197,508
358,197,492
359,197,489
360,197,505
361,197,520
362,197,509
363,197,493
364,197,489
365,197,505
366,197,521
367,197,511
368,197,495
369,197,489
370,197,504
371,197,521
372,197,512
373,197,496
374,197,488
375,197,504
376,197,520
377,197,513
378,197,498
379,197,488
380,197,503
381,197,520
382,197,515
383,197,499
384,197,488
385,197,503
386,197,519
387,197,516
388,197,500
389,197,487
390,197,502
391,197,519
392,197,517
393,197,501
394,197,488
395,197,502
396,197,518
397,197,518
398,197,503
399,197,488
400,196,500
401,196,510
402,196,525
403,196,535
404,196,520
405,196,504
406,196,506
407,196,521
408,196,534
409,196,520
410,196,504
411,196,503
412,196,519
413,196,533
414,196,520
415,196,504
416,196,501
417,196,516
418,196,532
419,196,521
420,196,504
421,196,499
422,196,514
423,196,530
424,196,521
425,196,505
426,196,497
427,196,512
428,196,528
429,196,522
430,196,506
431,196,495
432,196,510
433,196,525
434,196,523
435,196,506
436,196,493
437,196,508
438,196,523
439,196,523
440,196,507
441,196,493
442,196,506
443,196,522
444,196,524
445,196,508
446,196,492
447,196,504
448,196,520
449,196,525
450,196,509
451,196,494
452,196,502
453,196,518
454,196,526
455,196,511
456,196,494
457,196,501
458,196,517
459,196,527
460,196,511
461,196,496
462,196,499
463,196,515
464,196,527
465,196,513
466,196,497
467,196,497
468,196,514
469,196,527
470,196,514
471,196,498
472,196,496
473,196,512
474,196,527
475,196,515
476,196,499
477,196,494
478,196,510
479,196,526
480,196,516
481,196,501
482,196,493
483,196,509
484,196,525
485,196,518
486,196,502
487,196,492
488,196,507
489,196,523
490,196,520
491,196,503
492,196,491
493,196,506
494,196,522
495,196,521
496,196,504
497,196,490
498,196,504
499,196,520
500,195,518
501,195,524
502,195,539
503,195,542
504,195,525
505,195,508
506,195,519
507,195,534
508,195,540
509,195,524
510,195,508
511,195,514
512,195,530
513,195,540
514,195,524
515,195,508
516,195,510
517,195,526
518,195,538
519,195,524
520,195,507
521,195,506
522,195,522
523,195,536
524,195,524
525,195,508
526,195,503
527,195,519
528,195,534
529,195,525
530,195,508
531,195,500
532,195,515
533,195,531
534,195,525
535,195,509
536,195,498
537,195,512
538,195,528
539,195,526
540,195,510
541,195,496
542,195,510
543,195,525
544,195,527
545,195,511
546,195,495
547,195,506
548,195,523
549,195,528
550,195,512
551,195,496
552,195,504
553,195,520
554,195,529
555,195,514
556,195,497
557,195,501
558,195,518
559,195,529
560,195,515
561,195,499
562,195,499
563,195,515
564,195,529
565,195,516
566,195,501
567,195,497
568,195,513
569,195,528
570,195,518
571,195,502
572,195,495
573,195,510
574,195,526
575,195,520
576,195,503
577,195,493
578,195,508
579,195,524
580,195,521
581,195,505
582,195,492
583,195,506
584,195,522
585,195,522
586,195,507
587,195,491
588,195,504
589,195,520
590,195,524
591,195,508
592,195,493
593,195,501
594,195,518
595,195,526
596,195,510
597,195,494
598,195,499
599,195,516
600,194,523
601,194,530
602,194,531
603,194,515
604,194,499
605,194,511
606,194,527
607,194,532
608,194,516
609,194,500
610,194,507
611,194,522
612,194,532
613,194,518
614,194,501
615,194,503
616,194,519
617,194,532
618,194,519
619,194,503
620,194,500
621,194,516
622,194,531
623,194,521
624,194,504
625,194,497
626,194,513
627,194,528
628,194,522
629,194,506
630,194,495
631,194,509
632,194,525
633,194,524
634,194,508
635,194,493
636,194,507
637,194,523
638,194,526
639,194,510
640,194,494
641,194,503
642,194,520
643,194,527
644,194,512
645,194,496
646,194,501
647,194,517
648,194,528
649,194,514
650,194,498
651,194,498
652,194,514
653,194,528
654,194,516
655,194,500
656,194,495
657,194,511
658,194,527
659,194,518
660,194,502
661,194,493
662,194,508
663,194,524
664,194,520
665,194,504
666,194,491
667,194,506
668,194,522
669,194,522
670,194,506
671,194,491
672,194,503
673,194,519
674,194,525
675,194,509
676,194,493
677,194,500
678,194,517
679,194,526
680,194,511
681,194,495
682,194,497
683,194,514
684,194,527
685,194,514
686,194,497
687,194,495
688,194,512
689,194,527
690,194,516
691,194,499
692,194,493
693,194,509
694,194,525
695,194,518
696,194,502
697,194,491
698,194,506
699,194,522
700,193,516
701,193,523
702,193,538
703,193,538
704,193,521
705,193,505
706,193,517
707,193,533
708,193,537
709,193,521
710,193,504
711,193,512
712,193,528
713,193,536
714,193,521
715,193,505
716,193,508
717,193,524
718,193,536
719,193,522
720,193,506
721,193,504
722,193,520
723,193,535
724,193,523
725,193,507
726,193,501
727,193,516
728,193,532
729,193,525
730,193,508
731,193,497
732,193,513
733,193,529
734,193,527
735,193,510
736,193,496
737,193,509
738,193,525
739,193,528
740,193,511
741,193,495
742,193,506
743,193,522
744,193,529
745,193,513
746,193,497
747,193,503
748,193,519
749,193,529
750,193,515
751,193,499
752,193,500
753,193,516
754,193,529
755,193,517
756,193,501
757,193,497
758,193,513
759,193,528
760,193,519
761,193,503
762,193,495
763,193,511
764,193,526
765,193,521
766,193,505
767,193,493
768,193,507
769,193,523
770,193,523
771,193,507
772,193,492
773,193,505
774,193,520
775,193,525
776,193,508
777,193,493
778,193,501
779,193,518
780,193,526
781,193,511
782,193,495
783,193,499
784,193,515
785,193,527
786,193,513
787,193,497
788,193,497
789,193,513
790,193,527
791,193,516
792,193,500
793,193,495
794,193,510
795,193,526
796,193,518
797,193,502
798,193,492
799,193,507
800,192,522
801,192,531
802,192,519
803,192,504
804,192,496
805,192,511
806,192,527
807,192,522
808,192,505
809,192,493
810,192,508
811,192,524
812,192,524
813,192,508
814,192,492
815,192,504
816,192,520
817,192,526
818,192,511
819,192,495
820,192,501
821,192,518
822,192,528
823,192,513
824,192,498
825,192,498
826,192,513
827,192,528
828,192,516
829,192,500
830,192,494
831,192,511
832,192,526
833,192,519
834,192,502
835,192,492
836,192,507
837,192,523
838,192,521
839,192,505
840,192,491
841,192,504
842,192,520
843,192,524
844,192,508
845,192,492
846,192,501
847,192,517
848,192,526
849,192,511
850,192,495
851,192,498
852,192,514
853,192,527
854,192,513
855,192,497
856,192,495
857,192,511
858,192,526
859,192,517
860,192,500
861,192,492
862,192,508
863,192,524
864,192,519
865,192,503
866,192,490
867,192,505
868,192,521
869,192,522
870,192,506
871,192,490
872,192,502
873,192,518
874,192,524
875,192,509
876,192,493
877,192,499
878,192,515
879,192,526
880,192,512
881,192,495
882,192,496
883,192,512
884,192,526
885,192,515
886,192,498
887,192,493
888,192,508
889,192,525
890,192,517
891,192,501
892,192,491
893,192,505
894,192,522
895,192,520
896,192,504
897,192,489
898,192,503
899,192,519
900,191,519
901,191,526
902,191,527
903,191,511
904,191,495
905,191,506
906,191,522
907,191,529
908,191,513
909,191,497
910,191,501
911,191,517
912,191,530
913,191,516
914,191,500
915,191,498
916,191,514
917,191,529
918,191,519
919,191,503
920,191,494
921,191,510
922,191,525
923,191,522
924,191,506
925,191,492
926,191,505
927,191,522
928,191,525
929,191,509
930,191,494
931,191,502
932,191,518
933,191,527
934,191,512
935,191,496
936,191,498
937,191,514
938,191,528
939,191,515
940,191,499
941,191,494
942,191,510
943,191,526
944,191,519
945,191,502
946,191,492
947,191,506
948,191,523
949,191,522
950,191,506
951,191,490
952,191,503
953,191,519
954,191,525
955,191,509
956,191,493
957,191,499
958,191,515
959,191,527
960,191,513
961,191,497
962,191,495
963,191,512
964,191,527
965,191,515
966,191,500
967,191,492
968,191,508
969,191,524
970,191,519
971,191,503
972,191,490
973,191,505
974,191,521
975,191,522
976,191,506
977,191,490
978,191,501
979,191,517
980,191,525
981,191,510
982,191,494
983,191,498
984,191,514
985,191,527
986,191,513
987,191,497
988,191,494
989,191,510
990,191,526
991,191,517
992,191,500
993,191,491
994,191,507
995,191,522
996,191,520
997,191,504
998,191,490
999,191,503
1000,190,518
1001,190,527
1002,190,540
1003,190,528
1004,190,511
1005,190,504
1006,190,520
1007,190,535
1008,190,530
1009,190,513
1010,190,500
1011,190,514
1012,190,529
1013,190,532
1014,190,515
1015,190,500
1016,190,509
1017,190,525
1018,190,533
1019,190,518
1020,190,502
1021,190,503
1022,190,519
1023,190,533
1024,190,521
1025,190,505
1026,190,498
1027,190,514
1028,190,530
1029,190,524
1030,190,507
1031,190,495
1032,190,509
1033,190,525
1034,190,527
1035,190,511
1036,190,495
1037,190,505
1038,190,520
1039,190,529
1040,190,514
1041,190,498
1042,190,500
1043,190,516
1044,190,530
1045,190,518
1046,190,502
1047,190,495
1048,190,511
1049,190,527
1050,190,521
1051,190,505
1052,190,492
1053,190,507
1054,190,523
1055,190,525
1056,190,509
1057,190,493
1058,190,502
1059,190,518
1060,190,527
1061,190,512
1062,190,496
1063,190,498
1064,190,514
1065,190,529
1066,190,516
1067,190,500
1068,190,494
1069,190,510
1070,190,526
1071,190,520
1072,190,504
1073,190,491
1074,190,506
1075,190,522
1076,190,523
1077,190,507
1078,190,491
1079,190,502
1080,190,518
1081,190,526
1082,190,511
1083,190,495
1084,190,497
1085,190,513
1086,190,528
1087,190,515
1088,190,499
1089,190,493
1090,190,509
1091,190,525
1092,190,519
1093,190,502
1094,190,490
1095,190,505
1096,190,521
1097,190,523
1098,190,507
1099,190,491
1100,189,500
1101,189,505
1102,189,491
1103,189,477
1104,189,476
1105,189,493
1106,189,509
1107,189,499
1108,189,483
1109,189,475
1110,189,491
1111,189,508
1112,189,506
1113,189,490
1114,189,476
1115,189,489
1116,189,505
1117,189,512
1118,189,497
1119,189,482
1120,189,486
1121,189,503
1122,189,516
1123,189,503
1124,189,487
1125,189,483
1126,189,499
1127,189,515
1128,189,509
1129,189,493
1130,189,482
1131,189,496
1132,189,513
1133,189,514
1134,189,499
1135,189,483
1136,189,493
1137,189,509
1138,189,519
1139,189,504
1140,189,488
1141,189,489
1142,189,505
1143,189,521
1144,189,510
1145,189,493
1146,189,486
1147,189,502
1148,189,518
1149,189,515
1150,189,498
1151,189,484
1152,189,498
1153,189,514
1154,189,520
1155,189,504
1156,189,488
1157,189,494
1158,189,511
1159,189,522
1160,189,509
1161,189,493
1162,189,490
1163,189,506
1164,189,522
1165,189,514
1166,189,498
1167,189,487
1168,189,502
1169,189,518
1170,189,519
1171,189,502
1172,189,487
1173,189,498
1174,189,514
1175,189,523
1176,189,508
1177,189,492
1178,189,494
1179,189,510
1180,189,524
1181,189,513
1182,189,496
1183,189,490
1184,189,506
1185,189,521
1186,189,517
1187,189,501
1188,189,487
1189,189,501
1190,189,517
1191,189,522
1192,189,505
1193,189,490
1194,189,497
1195,189,513
1196,189,525
1197,189,511
1198,189,495
1199,189,493
1200,188,508
1201,188,516
1202,188,524
1203,188,509
1204,188,493
1205,188,496
1206,188,511
1207,188,526
1208,188,514
1209,188,498
1210,188,491
1211,188,506
1212,188,523
1213,188,520
1214,188,503
1215,188,488
1216,188,502
1217,188,517
1218,188,524
1219,188,508
1220,188,492
1221,188,497
1222,188,513
1223,188,526
1224,188,513
1225,188,497
1226,188,492
1227,188,508
1228,188,523
1229,188,518
1230,188,502
1231,188,489
1232,188,503
1233,188,519
1234,188,523
1235,188,507
1236,188,491
1237,188,498
1238,188,514
1239,188,526
1240,188,512
1241,188,496
1242,188,493
1243,188,509
1244,188,525
1245,188,517
1246,188,501
1247,188,489
1248,188,504
1249,188,520
1250,188,522
1251,188,506
1252,188,490
1253,188,499
1254,188,515
1255,188,526
1256,188,511
1257,188,495
1258,188,494
1259,188,510
1260,188,526
1261,188,516
1262,188,500
1263,188,490
1264,188,505
1265,188,521
1266,188,522
1267,188,505
1268,188,490
1269,188,500
1270,188,516
1271,188,526
1272,188,510
1273,188,495
1274,188,495
1275,188,511
1276,188,526
1277,188,515
1278,188,499
1279,188,490
1280,188,506
1281,188,522
1282,188,520
1283,188,504
1284,188,489
1285,188,501
1286,188,517
1287,188,524
1288,188,509
1289,188,493
1290,188,496
1291,188,512
1292,188,527
1293,188,514
1294,188,498
1295,188,492
1296,188,507
1297,188,523
1298,188,520
1299,188,503
1300,187,486
1301,187,494
1302,187,511
1303,187,507
1304,187,491
1305,187,478
1306,187,491
1307,187,508
1308,187,515
1309,187,499
1310,187,484
1311,187,488
1312,187,504
1313,187,518
1314,187,506
1315,187,490
1316,187,483
1317,187,500
1318,187,515
1319,187,513
1320,187,497
1321,187,482
1322,187,495
1323,187,511
1324,187,519
1325,187,503
1326,187,487
1327,187,490
1328,187,507
1329,187,521
1330,187,510
1331,187,494
1332,187,486
1333,187,502
1334,187,518
1335,187,516
1336,187,500
1337,187,484
1338,187,497
1339,187,513
1340,187,521
1341,187,506
1342,187,490
1343,187,491
1344,187,509
1345,187,523
1346,187,512
1347,187,496
1348,187,487
1349,187,503
1350,187,519
1351,187,518
1352,187,502
1353,187,486
1354,187,498
1355,187,514
1356,187,523
1357,187,508
1358,187,492
1359,187,492
1360,187,509
1361,187,525
1362,187,513
1363,187,497
1364,187,488
1365,187,504
1366,187,519
1367,187,520
1368,187,503
1369,187,488
1370,187,498
1371,187,514
1372,187,524
1373,187,509
1374,187,493
1375,187,492
1376,187,509
1377,187,525
1378,187,515
1379,187,499
1380,187,489
1381,187,504
1382,187,520
1383,187,520
1384,187,505
1385,187,489
1386,187,498
1387,187,514
1388,187,525
1389,187,510
1390,187,494
1391,187,493
1392,187,509
1393,187,525
1394,187,516
1395,187,500
1396,187,489
1397,187,504
1398,187,520
1399,187,522
1400,186,501
1401,186,509
1402,186,523
1403,186,511
1404,186,495
1405,186,488
1406,186,504
1407,186,520
1408,186,518
1409,186,501
1410,186,486
1411,186,498
1412,186,515
1413,186,523
1414,186,508
1415,186,491
1416,186,492
1417,186,509
1418,186,524
1419,186,514
1420,186,498
1421,186,488
1422,186,503
1423,186,519
1424,186,521
1425,186,504
1426,186,489
1427,186,497
1428,186,513
1429,186,525
1430,186,511
1431,186,495
1432,186,491
1433,186,507
1434,186,523
1435,186,517
1436,186,501
1437,186,488
1438,186,501
1439,186,518
1440,186,523
1441,186,507
1442,186,491
1443,186,495
1444,186,512
1445,186,526
1446,186,513
1447,186,497
1448,186,490
1449,186,505
1450,186,522
1451,186,520
1452,186,503
1453,186,488
1454,186,500
1455,186,516
1456,186,525
1457,186,510
1458,186,494
1459,186,494
1460,186,510
1461,186,526
1462,186,516
1463,186,499
1464,186,489
1465,186,504
1466,186,520
1467,186,522
1468,186,506
1469,186,490
1470,186,498
1471,186,514
1472,186,526
1473,186,512
1474,186,496
1475,186,492
1476,186,508
1477,186,524
1478,186,518
1479,186,502
1480,186,488
1481,186,502
1482,186,518
1483,186,524
1484,186,508
1485,186,492
1486,186,496
1487,186,512
1488,186,527
1489,186,514
1490,186,498
1491,186,490
1492,186,506
1493,186,522
1494,186,520
1495,186,505
1496,186,489
1497,186,500
1498,186,516
1499,186,525
1500,185,506
1501,185,495
1502,185,480
1503,185,466
1504,185,480
1505,185,496
1506,185,505
1507,185,491
1508,185,475
1509,185,476
1510,185,493
1511,185,510
1512,185,500
1513,185,484
1514,185,474
1515,185,490
1516,185,506
1517,185,508
1518,185,493
1519,185,477
1520,185,486
1521,185,502
1522,185,514
1523,185,500
1524,185,485
1525,185,481
1526,185,498
1527,185,514
1528,185,508
1529,185,492
1530,185,479
1531,185,493
1532,185,510
1533,185,515
1534,185,500
1535,185,484
1536,185,488
1537,185,505
1538,185,519
1539,185,507
1540,185,491
1541,185,484
1542,185,500
1543,185,516
1544,185,514
1545,185,497
1546,185,483
1547,185,494
1548,185,511
1549,185,520
1550,185,505
1551,185,489
1552,185,489
1553,185,506
1554,185,522
1555,185,511
1556,185,496
1557,185,485
1558,185,500
1559,185,516
1560,185,518
1561,185,502
1562,185,486
1563,185,495
1564,185,511
1565,185,523
1566,185,509
1567,185,493
1568,185,489
1569,185,506
1570,185,521
1571,185,515
1572,185,499
1573,185,486
1574,185,500
1575,185,516
1576,185,521
1577,185,506
1578,185,490
1579,185,494
1580,185,510
1581,185,525
1582,185,512
1583,185,496
1584,185,488
1585,185,504
1586,185,520
1587,185,519
1588,185,502
1589,185,487
1590,185,499
1591,185,515
1592,185,524
1593,185,508
1594,185,493
1595,185,492
1596,185,509
1597,185,525
1598,185,515
1599,185,499
1600,184,487
1601,184,496
1602,184,512
1603,184,523
1604,184,509
1605,184,493
1606,184,490
1607,184,506
1608,184,522
1609,184,516
1610,184,499
1611,184,486
1612,184,499
1613,184,516
1614,184,522
1615,184,506
1616,184,491
1617,184,493
1618,184,510
1619,184,524
1620,184,513
1621,184,497
1622,184,488
1623,184,503
1624,184,519
1625,184,520
1626,184,504
1627,184,488
1628,184,497
1629,184,513
1630,184,525
1631,184,511
1632,184,495
1633,184,491
1634,184,507
1635,184,523
1636,184,518
1637,184,501
1638,184,487
1639,184,500
1640,184,516
1641,184,524
1642,184,508
1643,184,492
1644,184,494
1645,184,510
1646,184,525
1647,184,516
1648,184,499
1649,184,488
1650,184,504
1651,184,519
1652,184,521
1653,184,506
1654,184,490
1655,184,497
1656,184,513
1657,184,526
1658,184,513
1659,184,496
1660,184,491
1661,184,507
1662,184,523
1663,184,519
1664,184,502
1665,184,488
1666,184,501
1667,184,517
1668,184,525
1669,184,510
1670,184,494
1671,184,494
1672,184,510
1673,184,526
1674,184,516
1675,184,500
1676,184,489
1677,184,504
1678,184,519
1679,184,522
1680,184,507
1681,184,491
1682,184,497
1683,184,513
1684,184,527
1685,184,513
1686,184,497
1687,184,491
1688,184,507
1689,184,522
1690,184,520
1691,184,504
1692,184,488
1693,184,500
1694,184,516
1695,184,526
1696,184,511
1697,184,495
1698,184,493
1699,184,509
1700,183,524
1701,183,531
1702,183,518
1703,183,502
1704,183,493
1705,183,509
1706,183,525
1707,183,524
1708,183,508
1709,183,492
1710,183,502
1711,183,518
1712,183,529
1713,183,515
1714,183,498
1715,183,494
1716,183,510
1717,183,526
1718,183,522
1719,183,506
1720,183,490
1721,183,503
1722,183,519
1723,183,527
1724,183,512
1725,183,496
1726,183,495
1727,183,512
1728,183,527
1729,183,519
1730,183,503
1731,183,490
1732,183,504
1733,183,520
1734,183,526
1735,183,509
1736,183,494
1737,183,497
1738,183,513
1739,183,528
1740,183,517
1741,183,500
1742,183,490
1743,183,506
1744,183,522
1745,183,524
1746,183,508
1747,183,492
1748,183,498
1749,183,515
1750,183,528
1751,183,515
1752,183,498
1753,183,492
1754,183,508
1755,183,523
1756,183,522
1757,183,505
1758,183,490
1759,183,500
1760,183,516
1761,183,527
1762,183,512
1763,183,496
1764,183,493
1765,183,509
1766,183,525
1767,183,519
1768,183,503
1769,183,488
1770,183,502
1771,183,518
1772,183,525
1773,183,510
1774,183,494
1775,183,495
1776,183,511
1777,183,526
1778,183,517
1779,183,501
1780,183,489
1781,183,504
1782,183,519
1783,183,523
1784,183,508
1785,183,492
1786,183,496
1787,183,513
1788,183,527
1789,183,515
1790,183,499
1791,183,490
1792,183,506
1793,183,521
1794,183,522
1795,183,506
1796,183,491
1797,183,498
1798,183,514
1799,183,527
1800,182,509
1801,182,513
1802,182,501
1803,182,486
1804,182,479
1805,182,495
1806,182,512
1807,182,511
1808,182,495
1809,182,480
1810,182,489
1811,182,506
1812,182,518
1813,182,505
1814,182,489
1815,182,483
1816,182,499
1817,182,516
1818,182,513
1819,182,497
1820,182,482
1821,182,493
1822,182,509
1823,182,520
1824,182,506
1825,182,490
1826,182,486
1827,182,503
1828,182,518
1829,182,515
1830,182,498
1831,182,483
1832,182,496
1833,182,512
1834,182,522
1835,182,507
1836,182,491
1837,182,488
1838,182,505
1839,182,520
1840,182,516
1841,182,499
1842,182,485
1843,182,498
1844,182,514
1845,182,522
1846,182,507
1847,182,491
1848,182,490
1849,182,507
1850,182,523
1851,182,516
1852,182,499
1853,182,486
1854,182,500
1855,182,516
1856,182,522
1857,182,507
1858,182,491
1859,182,492
1860,182,509
1861,182,525
1862,182,516
1863,182,499
1864,182,487
1865,182,501
1866,182,517
1867,182,522
1868,182,507
1869,182,491
1870,182,494
1871,182,510
1872,182,525
1873,182,514
1874,182,499
1875,182,487
1876,182,503
1877,182,519
1878,182,523
1879,182,506
1880,182,490
1881,182,495
1882,182,512
1883,182,526
1884,182,514
1885,182,498
1886,182,488
1887,182,504
1888,182,520
1889,182,522
1890,182,506
1891,182,490
1892,182,496
1893,182,512
1894,182,526
1895,182,514
1896,182,497
1897,182,489
1898,182,505
1899,182,521
1900,181,517
1901,181,523
1902,181,511
1903,181,496
1904,181,486
1905,181,501
1906,181,517
1907,181,520
1908,181,504
1909,181,489
1910,181,494
1911,181,510
1912,181,524
1913,181,513
1914,181,497
1915,181,487
1916,181,502
1917,181,518
1918,181,522
1919,181,505
1920,181,489
1921,181,494
1922,181,510
1923,181,525
1924,181,514
1925,181,497
1926,181,487
1927,181,502
1928,181,518
1929,181,522
1930,181,506
1931,181,490
1932,181,494
1933,181,511
1934,181,526
1935,181,514
1936,181,498
1937,181,488
1938,181,503
1939,181,519
1940,181,522
1941,181,507
1942,181,491
1943,181,494
1944,181,511
1945,181,526
1946,181,515
1947,181,499
1948,181,488
1949,181,503
1950,181,519
1951,181,523
1952,181,507
1953,181,491
1954,181,495
1955,181,511
1956,181,527
1957,181,515
1958,181,499
1959,181,488
1960,181,503
1961,181,519
1962,181,523
1963,181,507
1964,181,491
1965,181,495
1966,181,511
1967,181,527
1968,181,516
1969,181,499
1970,181,488
1971,181,503
1972,181,519
1973,181,524
1974,181,507
1975,181,492
1976,181,495
1977,181,512
1978,181,527
1979,181,516
1980,181,499
1981,181,488
1982,181,503
1983,181,519
1984,181,524
1985,181,508
1986,181,492
1987,181,495
1988,181,511
1989,181,527
1990,181,516
1991,181,500
1992,181,489
1993,181,503
1994,181,519
1995,181,524
1996,181,508
1997,181,492
1998,181,495
1999,181,511
2000,180,526
2001,180,534
2002,180,542
2003,180,527
2004,180,510
2005,180,507
2006,180,522
2007,180,538
2008,180,533
2009,180,516
2010,180,500
2011,180,512
2012,180,527
2013,180,538
2014,180,523
2015,180,507
2016,180,501
2017,180,517
2018,180,533
2019,180,531
2020,180,514
2021,180,498
2022,180,507
2023,180,523
2024,180,535
2025,180,521
2026,180,505
2027,180,498
2028,180,513
2029,180,529
2030,180,529
2031,180,513
2032,180,497
2033,180,503
2034,180,519
2035,180,533
2036,180,520
2037,180,504
2038,180,495
2039,180,510
2040,180,526
2041,180,528
2042,180,512
2043,180,496
2044,180,501
2045,180,517
2046,180,532
2047,180,520
2048,180,504
2049,180,492
2050,180,507
2051,180,523
2052,180,528
2053,180,512
2054,180,496
2055,180,498
2056,180,514
2057,180,530
2058,180,520
2059,180,504
2060,180,491
2061,180,505
2062,180,521
2063,180,528
2064,180,512
2065,180,496
2066,180,496
2067,180,513
2068,180,528
2069,180,521
2070,180,504
2071,180,490
2072,180,503
2073,180,519
2074,180,528
2075,180,512
2076,180,497
2077,180,494
2078,180,510
2079,180,526
2080,180,521
2081,180,505
2082,180,489
2083,180,502
2084,180,518
2085,180,528
2086,180,514
2087,180,498
2088,180,493
2089,180,509
2090,180,524
2091,180,522
2092,180,506
2093,180,490
2094,180,500
2095,180,516
2096,180,529
2097,180,514
2098,180,498
2099,180,491
2100,179,507
2101,179,515
2102,179,529
2103,179,517
2104,179,501
2105,179,490
2106,179,506
2107,179,522
2108,179,526
2109,179,510
2110,179,494
2111,179,496
2112,179,513
2113,179,528
2114,179,519
2115,179,503
2116,179,489
2117,179,503
2118,179,519
2119,179,527
2120,179,511
2121,179,495
2122,179,494
2123,179,510
2124,179,526
2125,179,521
2126,179,504
2127,179,489
2128,179,500
2129,179,517
2130,179,527
2131,179,513
2132,179,497
2133,179,491
2134,179,508
2135,179,524
2136,179,522
2137,179,506
2138,179,491
